asset,index,display_name,index_name,type,OGC_ex_post,category,currency,static,history_since
STATIC:Barclay Hedge Fund Index (USD),INDEX,Barclay Hedge Fund Index (USD),Barclay Hedge Fund Index (USD),Index,0.0,Alternative Index,SEK,TRUE,1996-12-31
SII:CSNRXSE,INDEX,Carnegie Small Cap Net Return,Carnegie Small Cap Net Return,Index,0.0,Equity Index,SEK,,2001-12-28
WFX:EURSEK,FX,EUR/SEK,FXK,FX,0.0,Currency,EUR,,1999-01-04
STATIC:Fastigheter - Europa - Core,INDEX,Fastigheter - Europa - Core,Fastigheter - Europa - Core,Index,0.0,Alternative Index,SEK,TRUE,2007-12-31
STATIC:HFRX Global Hedge Fund Index (USD),INDEX,HFRX Global Hedge Fund Index (USD),HFRX Global Hedge Fund Index (USD),Index,0.0,Alternative Index,SEK,TRUE,2007-12-31
STATIC:ICE BofA Euro Corp. 1-3Y (SEK-hedged) (ER01),INDEX,ICE BofA Euro Corp. 1-3Y (SEK-hedged) (ER01),ICE BofA Euro Corp. 1-3Y (SEK-hedged) (ER01),Index,0.0,Interest Bearing Index,SEK,TRUE,2005-12-31
STATIC:ICE BofA Global High Yield (SEK-hedged) (HW00),INDEX,ICE BofA Global High Yield (SEK-hedged) (HW00),ICE BofA Global High Yield (SEK-hedged) (HW00),Index,0.0,Interest Bearing Index,SEK,TRUE,2005-12-31
STATIC:Infrastructure (USD),INDEX,Infrastructure (USD),Infrastructure (USD),Index,0.0,Alternative Index,SEK,TRUE,2007-12-31
CBOE:MSEUEURP,INDEX,Morningstar Europe Index PR EU,Morningstar Europe Index PR EU,Index,0.0,Equity Index,EUR,,2022-09-26
MSCI:127306PSEK,INDEX,MSCI ACVVI COMM SVC INDEX 10-40(Price SEK),MSCI ACVVI COMM SVC INDEX 10-40(Price SEK),Index,0.0,Equity Index,SEK,,2011-02-03
MSCI:655045NIUSD,INDEX,MSCI ACWI Small Cap Net Index,MSCI ACWI Small Cap Net Index,Index,0.0,Equity Index,USD,,2011-02-03
MSCI:990100NIUSD,INDEX,MSCI WORLD TR (Net Index USD),MSCI WORLD TR (Net Index USD),Index,0.0,Equity Index,USD,,1994-05-31
MSCI:891800PUSD,INDEX,MSCI Emerging Markets,MSCI Emerging Markets,Index,0.0,Equity Index,USD,,2004-01-30
MSCI:984000NIUSD,INDEX,MSCI USA Net Index,MSCI USA Net Index,Index,0.0,Equity Index,USD,,1994-05-31
MSCI:106230NIUSD,INDEX,MSCI World Small Cap Net Index,MSCI World Small Cap Net Index,Index,0.0,Equity Index,USD,,2005-01-03
STOI:NOMXSCSEGI,INDEX,Nasdaq OMX Small Cap Sweden GI,Nasdaq OMX Small Cap Sweden GI,Index,0.0,Equity Index,SEK,,2009-06-01
SFI:OMRXBONDALL,INDEX,OMRX Bond All Index,OMRX Bond All Index,Index,0.0,Interest Bearing Index,SEK,,2000-01-03
NSx:OMRXREAL,INDEX,OMRX Real Return Bond Index,OMRX Real Return Bond Index,Index,0.0,Interest Bearing Index,SEK,,2009-05-28
NSx:OMRXTOT,INDEX,OMRX Total Market Index,OMRX Total Market Index,Index,0.0,Equity Index,SEK,,2009-05-28
SFI:OMRXTBILL,INDEX,OMRX Treasury Bill Index,OMRX Treasury Bill Index,Index,0.0,Interest Bearing Index,SEK,,2000-01-03
STATIC:Private Debt (USD),INDEX,Private Debt (USD),Private Debt (USD),Index,0.0,Alternative Index,SEK,TRUE,2007-12-31
STATIC:Private Equity (USD),INDEX,Private Equity (USD),Private Equity (USD),Index,0.0,Alternative Index,SEK,TRUE,2007-12-31
STATIC:Real Estate (USD),INDEX,Real Estate (USD),Real Estate (USD),Index,0.0,Alternative Index,SEK,TRUE,2007-12-31
SII:SIXRX,INDEX,SIX Return Index,SIX Return Index,Index,0.0,Equity Index,SEK,,1979-12-28
STUI:DE000SL0AXL3,INDEX,Solactive SEK Fix Short IG Credit Index,Solactive SEK Fix Short IG Credit Index,Index,0.0,Alternative Index,SEK,,2020-05-14
STUI:DE000SL0AXG3,INDEX,Solactive SEK FRN IG Credit Index,Solactive SEK FRN IG Credit Index,Index,0.0,Alternative Index,SEK,,2020-05-07
STATIC:Swiss Re Global Cat Bond TR USD,INDEX,Swiss Re Global Cat Bond TR USD,Swiss Re Global Cat Bond TR USD,Index,0.0,Alternative Index,SEK,TRUE,2007-12-31
WFX:USDSEK,FX,USD/SEK,FXK,FX,0.0,Currency,USD,,1990-01-02
IFMF:SE0001904798-SEK,CBOE:MSEUEURP,ALCUR,Morningstar Europe Index PR EU,Asset,0.0135394,Alternative,,,2006-12-31
SSF:69898,SII:CSNRXSE,Cliens Småbolag A,Carnegie Small Cap Net Return,Asset,0.0136,Equity,,,2016-09-22
HELF:EVLILLB,SFI:OMRXBONDALL,Evli Nordic Senior Secured Loan B,OMRX Bond All Index,Asset,0.0095,Interest Bearing,,,2021-08-31
BATE:HVPEL,STUI:DE000SL0AXL3,HarbourVest Global Private Equity,Solactive SEK Fix Short IG Credit Index,Asset,0.01,Alternative,,,2015-12-22
NYFA:BILD,STUI:DE000SL0AXL3,Macquarie Global Listed Infrastructure,Solactive SEK Fix Short IG Credit Index,Asset,0.021,Alternative,,,2024-03-19
IFMF:FI4000439468-SEK,SFI:OMRXBONDALL,Nordea Institutionella Sm IA,OMRX Bond All Index,Asset,0.0025024,Interest Bearing,,,2020-07-01
SSF:63982,NSx:OMRXREAL,Nordea Realräntefond,OMRX Real Return Bond Index,Asset,0.005,Interest Bearing,,,2003-08-25
IFMF:LU1646476504-SEK,STUI:DE000SL0AXL3,SCOR ILS Atropos Catb B3 SEK,Solactive SEK Fix Short IG Credit Index,Asset,0.005,Alternative,,,2018-05-11
