date,last,Type,Name,currency
2005-01-03,1045.9593699074,Asset,MSCI:892400NIUSD,USD
2005-01-04,1034.223874478,Asset,MSCI:892400NIUSD,USD
2005-01-05,1027.8808240222,Asset,MSCI:892400NIUSD,USD
2005-01-06,1027.1205009782,Asset,MSCI:892400NIUSD,USD
2005-01-07,1025.334951888,Asset,MSCI:892400NIUSD,USD
2005-01-10,1029.0784840744,Asset,MSCI:892400NIUSD,USD
2005-01-11,1026.728037147,Asset,MSCI:892400NIUSD,USD
2005-01-12,1030.9175784612,Asset,MSCI:892400NIUSD,USD
2005-01-13,1025.1407367443999,Asset,MSCI:892400NIUSD,USD
2005-01-14,1027.39911803,Asset,MSCI:892400NIUSD,USD
2005-01-17,1029.5471818872,Asset,MSCI:892400NIUSD,USD
2005-01-18,1032.0065345026,Asset,MSCI:892400NIUSD,USD
2005-01-19,1027.892722977,Asset,MSCI:892400NIUSD,USD
2005-01-20,1018.5315732231999,Asset,MSCI:892400NIUSD,USD
2005-01-21,1016.290233661,Asset,MSCI:892400NIUSD,USD
2005-01-24,1016.6282446481999,Asset,MSCI:892400NIUSD,USD
2005-01-25,1016.9206765881999,Asset,MSCI:892400NIUSD,USD
2005-01-26,1025.3880938302,Asset,MSCI:892400NIUSD,USD
2005-01-27,1025.5166630452,Asset,MSCI:892400NIUSD,USD
2005-01-28,1021.9060361336,Asset,MSCI:892400NIUSD,USD
2005-01-31,1030.240245585,Asset,MSCI:892400NIUSD,USD
2005-02-01,1035.0297765691998,Asset,MSCI:892400NIUSD,USD
2005-02-02,1039.2744765976,Asset,MSCI:892400NIUSD,USD
2005-02-03,1034.856636693,Asset,MSCI:892400NIUSD,USD
2005-02-04,1044.6400985036,Asset,MSCI:892400NIUSD,USD
2005-02-07,1043.3520870657999,Asset,MSCI:892400NIUSD,USD
2005-02-08,1041.3828100464,Asset,MSCI:892400NIUSD,USD
2005-02-09,1037.6597480958,Asset,MSCI:892400NIUSD,USD
2005-02-10,1043.6014609236,Asset,MSCI:892400NIUSD,USD
2005-02-11,1050.1106933922,Asset,MSCI:892400NIUSD,USD
2005-02-14,1055.4729876244,Asset,MSCI:892400NIUSD,USD
