asset_id,company_ogc,display_name
SSF:62022,0.0003,Storebrand Global All Countries A SEK
SSF:66605,0.0008,SEB Global High Yield Fund C (H-SEK)
SSF:69692,0.0006,Storebrand Global Plus A SEK
HELF:EVLILLB,0.0035,Evli Nordic Senior Secured Loan B
IFMF:FI4000439468-SEK,0.00045,Nordea Institutionella Sm IA
SSF:61705,0.0004,SEB Kortrantefond SEK A
SSF:71452,0.0008,SEB Företagsobligatlonsfond A
SSF:61535,0.0003,Storebrand Sverige A SEK
SSF:69876,0.0006,Storebrand Sverige Plus A SEK
SSF:68700,0.0028,Storebrand Global Low Volatility A SEK
SSF:69694,0.0006,Storebrand Emerging Markets Plus A
SSF:69347,0.0012,Swedbank Robur Access Europa A
IFMF:SE0007074083-SEK,0.0012,Swedbank Robur Access USA A
SSF:70834,0.0032,Swedbank Robur Global Impact A
SSF:70778,0.0015,SEB Global Indexnära C
SSF:69346,0.0012,Swedbank Robur Access Sverige A
IFMF:SE0017486970-SEK,0.0023,Swedbank Robur Sverige J
SSF:61504,0.0014,Swedbank Robur Obligation A
SSF:68825,0.0009,Swedbank Robur Räntefond Kort Plus
SSF:63982,0.00045,Nordea Realräntefond
SSF:68824,0.0027,Swedbank Robur Corporate Bond Europe A
SSF:72483,0.0008,SEB Global High Yield IC
