date,index_name,last
2005-12-31,ICE BofA Global High Yield (SEK-hedged) (HW00),145.447
2006-01-31,ICE BofA Global High Yield (SEK-hedged) (HW00),147.454
2006-02-28,ICE BofA Global High Yield (SEK-hedged) (HW00),148.035
2006-03-31,ICE BofA Global High Yield (SEK-hedged) (HW00),148.694
2006-04-30,ICE BofA Global High Yield (SEK-hedged) (HW00),149.349
2006-05-31,ICE BofA Global High Yield (SEK-hedged) (HW00),148.936
2006-06-30,ICE BofA Global High Yield (SEK-hedged) (HW00),148.085
2006-07-31,ICE BofA Global High Yield (SEK-hedged) (HW00),149.379
2006-08-31,ICE BofA Global High Yield (SEK-hedged) (HW00),151.344
2006-09-30,ICE BofA Global High Yield (SEK-hedged) (HW00),152.911
2006-10-31,ICE BofA Global High Yield (SEK-hedged) (HW00),154.792
2006-11-30,ICE BofA Global High Yield (SEK-hedged) (HW00),156.715
2006-12-31,ICE BofA Global High Yield (SEK-hedged) (HW00),158.07
2007-01-31,ICE BofA Global High Yield (SEK-hedged) (HW00),159.451
2007-02-28,ICE BofA Global High Yield (SEK-hedged) (HW00),161.26
2007-03-31,ICE BofA Global High Yield (SEK-hedged) (HW00),161.355
2007-04-30,ICE BofA Global High Yield (SEK-hedged) (HW00),163.034
2007-05-31,ICE BofA Global High Yield (SEK-hedged) (HW00),163.97
2007-06-30,ICE BofA Global High Yield (SEK-hedged) (HW00),161.104
2007-07-31,ICE BofA Global High Yield (SEK-hedged) (HW00),155.866
2007-08-31,ICE BofA Global High Yield (SEK-hedged) (HW00),157.037
2007-09-30,ICE BofA Global High Yield (SEK-hedged) (HW00),160.383
2007-10-31,ICE BofA Global High Yield (SEK-hedged) (HW00),161.217
2007-11-30,ICE BofA Global High Yield (SEK-hedged) (HW00),157.594
2007-12-31,ICE BofA Global High Yield (SEK-hedged) (HW00),157.907
2008-01-31,ICE BofA Global High Yield (SEK-hedged) (HW00),155.088
2008-02-29,ICE BofA Global High Yield (SEK-hedged) (HW00),153.383
2008-03-31,ICE BofA Global High Yield (SEK-hedged) (HW00),152.781
2008-04-30,ICE BofA Global High Yield (SEK-hedged) (HW00),159.624
2008-05-31,ICE BofA Global High Yield (SEK-hedged) (HW00),160.684
2008-06-30,ICE BofA Global High Yield (SEK-hedged) (HW00),156.23
2008-07-31,ICE BofA Global High Yield (SEK-hedged) (HW00),153.905
2008-08-31,ICE BofA Global High Yield (SEK-hedged) (HW00),154.741
2008-09-30,ICE BofA Global High Yield (SEK-hedged) (HW00),140.967
2008-10-31,ICE BofA Global High Yield (SEK-hedged) (HW00),115.442
2008-11-30,ICE BofA Global High Yield (SEK-hedged) (HW00),105.907
2008-12-31,ICE BofA Global High Yield (SEK-hedged) (HW00),112.738
2009-01-31,ICE BofA Global High Yield (SEK-hedged) (HW00),119.486
2009-02-28,ICE BofA Global High Yield (SEK-hedged) (HW00),115.17
2009-03-31,ICE BofA Global High Yield (SEK-hedged) (HW00),118.462
2009-04-30,ICE BofA Global High Yield (SEK-hedged) (HW00),131.383
2009-05-31,ICE BofA Global High Yield (SEK-hedged) (HW00),141.368
2009-06-30,ICE BofA Global High Yield (SEK-hedged) (HW00),146.294
2009-07-31,ICE BofA Global High Yield (SEK-hedged) (HW00),155.36
2009-08-31,ICE BofA Global High Yield (SEK-hedged) (HW00),158.906
2009-09-30,ICE BofA Global High Yield (SEK-hedged) (HW00),168.926
2009-10-31,ICE BofA Global High Yield (SEK-hedged) (HW00),172.13
2009-11-30,ICE BofA Global High Yield (SEK-hedged) (HW00),173.638
2009-12-31,ICE BofA Global High Yield (SEK-hedged) (HW00),178.929
2010-01-31,ICE BofA Global High Yield (SEK-hedged) (HW00),182.368
